chapter,Chapter Content,Questions,Answers
14.1 Advanced Queries in Microsoft Access, Queries can handle multiple types of criteria to help isolate data. Learning how to build/record expressions through correct syntax can help control numerous operators in a query. Using multiple criteria in a single query can help drill down when asking questions about data records.  Creating an aggregate within a query can help find totals and groupings within data.,"[' What are the different types of criteria that can be used in a query?', 'How can you build/record expressions through correct syntax?', 'What is the purpose of using multiple criteria in a single query?', 'How can you find totals and groupings within data using an aggregate within a query?']","['The different types of criteria that can be used in a query include: AND, OR, NOT, and BETWEEN.', 'You can build/record expressions through correct syntax by using the following steps:a. Click on the ""Criteria"" box in the ""Filter"" tab.b. Click on the ""Field"" drop-down list to select the field you want to use.b. Click on the ""Field"" drop-down list to select the field you want to use.d. Type in the value or values you want to use in the ""Value"" box.e. Click on the ""OK"" button.', 'The purpose of using multiple criteria in a single query is to isolate specific data. By using multiple criteria, you can narrow down your data to a specific range or set of values.', ' You can find totals and groupings within data using an aggregate within a query by using the following steps:a. Click on the ""Group By"" box in the ""Group By"" tab.b. Click on the ""Field"" drop-down list to select the field you want to use.c. Click on the ""Function"" drop-down list to select the type of aggregate you want to use.d. Click on the ""OK"" button.']"
14.2 Multiple Table Forms, Adding data from two tables to a single specialized form can be an efficient way to reduce steps and enhance user experience. Queries are the bedrock of building and designing relational forms. Using the Form/Subform Wizard in Access can help ensure the creation of proper relationships. Understanding how subforms and relationships work opens the door to form design.,"['What is the purpose of adding data from two tables to a single specialized form?', 'What is the bedrock of building and designing relational forms?', ' How can the Form/Subform Wizard in Access help ensure the creation of proper relationships?', ' What is the purpose of understanding how subforms and relationships work?', 'What is an example of a scenario where multiple table forms would be beneficial?']","[' The purpose of adding data from two tables to a single specialized form is to reduce steps and enhance user experience.', 'The bedrock of building and designing relational forms is queries.', ' The Form/Subform Wizard in Access helps ensure the creation of proper relationships by ensuring that the relationships between tables are correctly set up.', 'The purpose of understanding how subforms and relationships work is to open the door to form design.', ""An example of a scenario where multiple table forms would be beneficial is in a school database where students and their parents are stored in separate tables. The form could display a student's name, their parent's name, and their parent's contact information all in one place.""]"
14.3 Customizing Forms,"Through the tools in Access, you can add and arrange fields, labels, buttons, and other objects, and set their properties to control their behavior and appearance in the form. These tools allow you to create more complex and customized forms.  Controls are the parts of a form that are used to enter, edit, or display data Adding controls such as command buttons or combo boxes are added to manage how form looks, works, and interacts with the rest of the database. Elements such as headers and footers, titles, modifications to the text and colors, logos can be used to customize the form to company specific standards.","[' What are the tools in Access that allow you to customize forms?', ' What are the parts of a form that are used to enter, edit, or display data?', ' How can you add controls such as command buttons or combo boxes to a form?', ' What are the elements of a form that can be customized to company specific standards?']","['The tools in Access that allow you to customize forms include the Form Designer, Properties Sheet, and the Objects and Controls window.', 'The parts of a form that are used to enter, edit, or display data are called controls.', 'You can add controls such as command buttons or combo boxes to a form by selecting them from the Objects and Controls window and then dragging them onto the form.', ' The elements of a form that can be customized to company specific standards include headers and footers, titles, modifications to the text and colors, and logos.']"
14.4 Customizing Reports,"Use report tools to build a custom report in both Layout View and Design View.  Use report tools to group and sort in a report, filter records, and add totals and subtotals to a report.  Use report tools to change the appearance of a report by adding fields with time and date, formatting text, adding page numbers to a report, and adding logos and images to a report.","['What are the two main views in report tools?', ' How do you group and sort in a report?', ' What is the purpose of filtering records in a report?', ' How do you add totals and subtotals to a report?', 'How do you change the appearance of a report by adding fields with time and date, formatting text, adding page numbers to a report, and adding logos and images to a report?']","['The two main views in report tools are Layout View and Design View.', ' You can group and sort in a report by selecting the grouping and sorting options in the report tools.', 'Filtering records in a report allows you to display only the records that meet certain criteria.', ' You can add totals and subtotals to a report by selecting the appropriate options in the report tools.', ' You can change the appearance of a report by adding fields with time and date, formatting text, adding page numbers to a report, and adding logos and images to a report by selecting the appropriate options in the report tools.']"
14.5 Using Macros," Macros can make tasks that you routinely perform in Access quicker through automation. Macros are built using computer coding language to perform specific tasks such as running reports, printing forms, or copying data from one table into another table By customizing your database with macros, you can create a system for accomplishing many similar operations easily and efficiently. Two common applications for macros are displaying message boxes and validating data. VBA is a programming language that is integrated into Access, allowing you to create custom solutions for data management, reporting, and other tasks. Using the Code Builder tool, you can add specialized macros to forms and reports.","[' What is a macro in Access?', 'What are the two common applications for macros in Access?', 'What is VBA, and how is it integrated into Access?', 'How can you use the Code Builder tool in Access to add specialized macros to forms and reports?', 'What are some practical examples of tasks that can be automated using macros in Access?']","[' A macro in Access is a series of instructions written in a programming language that automates a series of tasks.', 'The two common applications for macros in Access are displaying message boxes and validating data.', 'VBA, or Visual Basic for Applications, is a programming language that is integrated into Access. It allows you to create custom solutions for data management, reporting, and other tasks.', 'You can use the Code Builder tool in Access to add specialized macros to forms and reports. This tool allows you to create and edit VBA code directly within the Access interface.', ' Some practical examples of tasks that can be automated using macros in Access include running reports, printing forms, copying data from one table into another table, and creating a system for accomplishing many similar operations.']"
14.6 Data Analysis and Integration,Integrating data from outside sources may take some planning. Steps for importing and exporting data were reviewed.  Building a dashboard with navigation forms helps drive business. Plan and build your dashboard around forms are used most often in the organization. Review Questions,"[' What are the steps for importing and exporting data?', ' What is the purpose of a dashboard in a business?', ' What are the benefits of planning and building a dashboard around forms?', ' What are the potential challenges in integrating data from outside sources?', "" How can the use of forms in an organization's dashboard help drive business?""]","[' Importing data involves transferring data from one system to another. Exporting data involves transferring data from one system to another.', ' A dashboard in a business provides a centralized view of key performance indicators (KPIs) and allows for quick access to data and reports.', 'The benefits of planning and building a dashboard around forms include improved user experience, increased efficiency, and enhanced data analysis.', 'Potential challenges in integrating data from outside sources include data quality issues, integration complexity, and the need for ongoing maintenance and support.', "" The use of forms in an organization's dashboard can help drive business by providing a centralized platform for data input, analysis, and decision-making.""]"
15.1 Microsoft 365: Collaboration and Integration,"Collaborative workspaces allow users from various physical locations to work together efficiently.  Office is designed to allow easy integration between applications. We discuss two types of integrationl embedding and linking. Embedded information becomes a part of the other file and is not updated if the source file is updated. Linked information is kept separate; a connection between the two files is made, but it does not become part of the other file. Certain PDF files can be opened by Word by using the default conversion tool. Because the programs generally have the same layout, there are common paths to take information from one program into another program.","['What is the purpose of collaborative workspaces in Microsoft 365?', ' What is the difference between embedded and linked information in Microsoft 365?', ' What is the role of the default conversion tool in Microsoft 365?', ' What are the common paths to take information from one program into another program in Microsoft 365?', ' How does Microsoft 365 allow easy integration between applications?', ' What is the main advantage of using Microsoft 365 for collaboration and integration?', 'How does Microsoft 365 handle changes in the source file when using embedded or linked information?']","[' The purpose of collaborative workspaces in Microsoft 365 is to allow users from various physical locations to work together efficiently.', ' Embedded information becomes a part of the other file and is not updated if the source file is updated. Linked information is kept separate; a connection between the two files is made, but it does not become part of the other file.', ' The default conversion tool in Microsoft 365 is used to open certain PDF files by Word.', ' Common paths to take information from one program into another program in Microsoft 365 include the use of the default conversion tool and the programs generally having the same layout.', 'Microsoft 365 allows easy integration between applications by design, as it uses Office, which is designed to allow easy integration between applications.', 'The main advantage of using Microsoft 365 for collaboration and integration is its ability to allow users from various physical locations to work together efficiently.', 'Microsoft 365 handles changes in the source file when using embedded or linked information by keeping the linked information separate and not updating it if the source file is']"
15.2 Microsoft Word: Integration with Microsoft Excel and Microsoft Access," Integrating Word into Excel has some drawbacks as Excel is meant more for data rather than text.  However, methods for importing Excel content into Word files include many copy-and-paste options, as well as the ability to insert a linked object.  The process for linking or embedding Excel charts into a Word file is similar to linking or embedding tables of data. You can choose to display the information as an icon in the Word document rather than showing an image of the linked or embedded information. You can import Access tables into Word, but this is typically not advised, as Access databases can be quite lengthy.","[' What are the drawbacks of integrating Word into Excel?', ' How can you import Excel content into Word files?', ' What are the steps to link or embed Excel charts into a Word file?', 'Why is it not advised to import Access tables into Word?', ' How can you display information as an icon in the Word document rather than showing an image of the linked or embedded information?']","[' The drawbacks of integrating Word into Excel include the fact that Excel is designed for data rather than text.', 'You can import Excel content into Word files through copy-and-paste options or by inserting a linked object.', 'The process for linking or embedding Excel charts into a Word file involves choosing to display the information as an icon in the Word document rather than showing an image of the linked or embedded information.', ' Access tables in Access databases can be quite lengthy, and importing them into Word is typically not advised.', 'You can display information as an icon in the Word document rather than showing an image of the linked or embedded information by choosing to display the information as an icon in the Word document.']"
2.1 Software Basics,"Software is the lifeblood of a computer system that gets work done personally and in the business world.  Word processing applications are used to create text-based documents such as memos, letters, and reports.  Spreadsheet applications are used to work with data, especially numerical data.  Presentation applications are used to create slides that combine text and visuals to be shared in a presentation.  Specialized applications include programs that are used only in certain disciplines or occupations.  Installing and maintaining software is an important skill to have in today business world and beyond.","[' What is software?', ' What are some examples of software applications?', 'What is the difference between a word processing application, a spreadsheet application, and a presentation application?', ' What are specialized applications?', ' What is the importance of installing and maintaining software?']","[' Software is the programmes or applications that run on a computer and perform various tasks.', ' Examples of software applications include word processing applications (like Microsoft Word), spreadsheet applications (like Microsoft Excel), presentation applications (like PowerPoint), and specialized applications (like specific business software).', ' Word processing applications are used to create text-based documents, spreadsheet applications are used to work with numerical data, and presentation applications are used to create slides that combine text and visuals.', 'Specialized applications are programs that are used only in certain disciplines or occupations.', ' Installing and maintaining software is an important skill because it allows users to use the software effectively and efficiently, and it ensures that the software is up-to-date and compatible with the hardware and operating system.']"
2.2 Files and Folders,"Some best practices for organizing and cleaning your files include never storing files on your desktop, removing files from the download folder, and using descriptive folder names. The different types of files include document, worksheet, presentation, and graphics files.  Files can be managed, shared, organized, and stored in the cloud using the applications provided by Google or Microsoft.","[' What are some best practices for organizing and cleaning your files?', ' What are the different types of files?', 'How can files be managed, shared, organized, and stored in the cloud using the applications provided by Google or Microsoft?']","[' Some best practices for organizing and cleaning your files include never storing files on your desktop, removing files from the download folder, and using descriptive folder names.', ' The different types of files include document, worksheet, presentation, and graphics files.', ' Files can be managed, shared, organized, and stored in the cloud using the applications provided by Google or Microsoft.']"
2.3 Communication and Calendar Applications, Communication in organizations today is facilitated with technology.  Many applications include features to facilitate communication across time zones and borders. Email applications such as Outlook and Gmail make it possible to communicate and to send files via the internet.  Instant chat/messaging platforms such as Microsoft Teams and Slack have been used to create virtual workspaces for teams in organizations.  Productivity in teams can be enhanced by using calendar applications to manage team meetings and project tasks.,"['What is the main difference between email and instant messaging?', ' How do calendar applications help in managing team meetings and project tasks?', ' What are the features of Microsoft Teams and Slack that make them suitable for virtual workspaces?', 'What are the benefits of using calendar applications in organizations?', ' How does the use of calendar applications in organizations enhance productivity?']","[' Email is a form of communication that involves sending and receiving of documents, while instant messaging is a form of communication that involves real-time text communication.', ' Calendar applications help in managing team meetings and project tasks by allowing team members to schedule meetings, set reminders for tasks, and view the schedule of other team members.', ' The features of Microsoft Teams and Slack that make them suitable for virtual workspaces include the ability to create channels for different teams, share files and documents, and have real-time text communication.', 'The benefits of using calendar applications in organizations include improved communication, increased productivity, and better coordination of team activities.', ' The use of calendar applications in organizations enhances productivity by allowing team members to plan their work, manage their time, and coordinate their activities. It also helps in reducing the time spent on searching for information and meeting people, thereby increasing efficiency.']"
2.4 Essentials of Microsoft 365," Applications in the Office suite have generally the same layout. The options to customize files are arranged on the ribbon by tabs based on the usage.  The Save, Save As, Open, and Print options are common among all applications.  By using the settings options in the applications, you can customize the view and the ribbon to meet your needs.","[' What is the main difference between Microsoft Word, Excel, and PowerPoint?', ' What are the common options found on the ribbon in all Microsoft Office applications?', 'How can you customize the view and the ribbon in Microsoft Office applications?', 'What are the benefits of using the Save, Save As, Open, and Print options in all Microsoft Office applications?', 'How does the layout of the Office suite applications generally differ from one another?']","[' Word is a word processing application, Excel is a spreadsheet application, and PowerPoint is a presentation application.', 'The common options found on the ribbon in all Microsoft Office applications include File, Edit, View, Insert, Format, Tools, and Help.', 'You can customize the view and the ribbon in Microsoft Office applications by going to the File menu, selecting Options, and then choosing the Customize Ribbon option.', ' The Save, Save As, Open, and Print options are common among all Microsoft Office applications because they allow you to save your work, save your work with a different name, open previously saved files, and print your work.', 'The layout of the Office suite applications generally differ from one another because they are designed to work together as a suite, with Word for writing, Excel for calculations, and PowerPoint for presentations.']"
2.5 Essentials of Google Workspace,"Apps in Workspace include Docs, Sheets, and Slides. These apps are similar in many ways to their Microsoft counterparts. Google has some of the same functionality that you will find in Microsoft, but items may use different terminology.  A unique feature of creating files in Google is that the files are automatically saved in your Drive in the cloud. Commands and settings in Google are arranged in menus, with the more frequently used commands appearing as icons on the toolbar.","[' What are the apps in Google Workspace?', 'How are Google Workspace apps similar to their Microsoft counterparts?', ' What is the unique feature of creating files in Google?', ' How are commands and settings in Google arranged in menus?']","['The apps in Google Workspace include Docs, Sheets, and Slides.', ' Google Workspace apps are similar in many ways to their Microsoft counterparts, as they share similar functionalities and use similar terminology.', ' The unique feature of creating files in Google is that the files are automatically saved in your Drive in the cloud.', 'Commands and settings in Google are arranged in menus, with the more frequently used commands appearing as icons on the toolbar.']"
2.6 Collaboration,Collaboration and teamwork are essential aspects of today's workplace. Both can be fostered through technology. Sharing platforms such as OneDrive and Drive make it possible to collaborate and track teamwork across various applications. Today's companies expect workers to treat videoconferencing with the same level of professionalism as in-office meetings.  Companies use popular software programs such as Zoom and Microsoft Teams to run videoconferences. You can share and collaborate on documents through editing and commenting functions.,"[' What is collaboration and teamwork?', 'How can technology be used to foster collaboration and teamwork?', ' What are some examples of sharing platforms that allow for collaboration and teamwork?', 'What is the role of videoconferencing in todayâ\x80\x99s workplace?', ' What are some examples of software programs that are used to run videoconferences?', ' How can you share and collaborate on documents through editing and commenting functions?']","[' Collaboration is the process of working together to achieve a common goal. Teamwork is the ability to work together as a team to achieve a common goal.', 'Technology can be used to foster collaboration and teamwork by enabling communication, sharing files, and tracking teamwork.', 'Examples of sharing platforms that allow for collaboration and teamwork include OneDrive, Google Drive, Dropbox, and SharePoint.', 'Videoconferencing is a crucial part of todayâ\x80\x99s workplace as it allows for real-time communication and collaboration, enhancing teamwork and productivity.', ' Examples of software programs that are used to run videoconferences include Zoom, Microsoft Teams, Google Meet, and Cisco Webex.', 'You can share and collaborate on documents through editing and commenting functions. For example, you can edit a document in real-time, add comments to specific parts of the document, and see who has made what changes.']"
3.1 Navigating Microsoft Word," Word's functions and features are located in customizable tabs at the top of the user interface. The most frequently used tabs include Home (to set document styles), Insert (to insert graphics or other elements), Layout (to adjust margins and page settings), Review (to use comments and track change), and View (to adjust how you see a document).  The Navigation pane is a sidebar that allows the users to view the document in various ways. It gives the option to see an outline of the document, see thumbnails of the pages, and lets users find and replace text.","[' What are the five most frequently used tabs in Microsoft Word?', ' What are the three ways to view a document in Microsoft Word?', ' What is the Navigation pane in Microsoft Word?', 'How do you find and replace text in Microsoft Word?', ' What are the benefits of using comments and track change in Microsoft Word?']","[' The five most frequently used tabs in Microsoft Word are Home, Insert, Layout, Review, and View.', ' The three ways to view a document in Microsoft Word are to see an outline of the document, see thumbnails of the pages, and find and replace text.', ' The Navigation pane in Microsoft Word is a sidebar that allows the users to view the document in various ways. It gives the option to see an outline of the document, see thumbnails of the pages, and lets users find and replace text.', ' To find and replace text in Microsoft Word, you can use the Find and Replace function in the Home tab.', 'The benefits of using comments and track change in Microsoft Word include the ability to collaborate with others, keep track of changes made to the document, and review the history of the document.']"
3.2 Formatting Document Layout in Microsoft Word,"Document formatting includes page setup configurations, such as paper size, page margins, orientation, and the use of columns or sections.  Section breaks allow different formatting to be applied to different sections of a document.","[' What is the purpose of page setup configurations in Microsoft Word?', 'What are the different types of page margins in Microsoft Word?', ' How do you change the orientation of a document in Microsoft Word?', 'What is the difference between using columns and sections in Microsoft Word?']","[' The purpose of page setup configurations in Microsoft Word is to control the layout of the document, including the paper size, page margins, orientation, and the use of columns or sections.', ' The different types of page margins in Microsoft Word include left margin, right margin, top margin, and bottom margin.', 'To change the orientation of a document in Microsoft Word, you can use the ""Orientation"" option in the ""Page Setup"" dialog box.', 'The difference between using columns and sections in Microsoft Word is that columns allow you to divide a page into multiple columns, while sections allow you to divide a document into multiple sections with different page setups.']"
3.3 Formatting Document Content in Microsoft Word," Options for formatting font types, sizes, and styles are on the Home tab. Using appropriate document formatting helps make business documents more readable. The Layout tab is used for modifying paragraph styles in a document., Headings are a good tool for organizing your document, can be viewed in the Navigation pane, and can be used to make a table of contents.,When arranging objects such as images, graphs, charts, or tables around your text, use text wrapping settings that optimize the purpose of the graphic.","['What are the three ways to format font types, sizes, and styles in Microsoft Word?']","['The three ways to format font types, sizes, and styles in Microsoft Word are through the Home']"
3.4 Collaborative Editing and Reviewing in Microsoft Word,"The Review tab includes proofing tools like spelling and grammar check, commenting, Track Changes, and document protection.  The Editor tool conducts deep grammar and style checks on your document.","[' What is the purpose of the Review tab in Microsoft Word?', ' What are the features of the Review tab that are used for proofing tools?', ' What is the purpose of the Editor tool in Microsoft Word?', ' What is the function of the Track Changes feature in Microsoft Word?', 'What is the purpose of the document protection feature in Microsoft Word?']","['The Review tab in Microsoft Word is used for proofing tools like spelling and grammar check, commenting, Track Changes, and document protection.', 'The features of the Review tab that are used for proofing tools include spelling and grammar check, commenting, Track Changes, and document protection.', ' The Editor tool in Microsoft Word is used for deep grammar and style checks on your document.', 'The Track Changes feature in Microsoft Word allows users to see who made changes to a document and what those changes were.', ' The document protection feature in Microsoft Word is used to prevent unauthorized changes to a document.']"
3.5 Document Design," Themes are color and design schemes that autoformat document styles. The user can modify the theme to their liking by modifying the styles.  You can use the Page Background command group tools to make large changes to your whole document, such as changing the background of your page and applying a watermark. These are options are found on the Design tab.","[' What is the purpose of themes in Microsoft Word?', 'How can you modify the theme to your liking?', ' What are the options found on the Design tab?', 'What are the benefits of using the Page Background command group tools?', ' What is the difference between the Page Background command group tools and the Page Layout command group tools?']","[' The purpose of themes in Microsoft Word is to autoformat document styles, allowing the user to modify the styles to their liking.', ' You can modify the theme to your liking by modifying the styles.', ' The options found on the Design tab include features such as changing the background of your page and applying a watermark.', 'The benefits of using the Page Background command group tools include the ability to make large changes to your whole document, such as changing the background of your page and applying a watermark.', 'The Page Background command group tools are used to change the background of your page and apply a watermark, while the Page Layout command group tools are used to adjust the layout of your page, such as changing the margins and headers/footers.']"
3.6 Navigating Google Docs,"Docs has a menu protocol similar to other word processing applications, including File, Edit, View, Insert, Format, and Tools menus. The commands in each menu have similarities to the ones in Word, but Docs also offers unique features and abilities, such as the Explore command. Docs also features the action bar, which contains some of the more frequently used tools in Docs.  In order to create a new Doc, you must log in to your account and access Drive.","['What are the similarities and differences between the menus in Google Docs compared to other word processing applications?', 'What are the unique features and abilities of Google Docs?', 'How do you create a new Google Doc?']","['The similarities between Google Docs menus and other word processing applications include the common use of File, Edit, View, Insert, Format, and Tools menus. The commands in each menu are similar to those in Word. The differences lie in the unique features and abilities of Google Docs, such as the Explore command and the action bar.', "" Google Docs' unique features and abilities include the Explore command, which allows users to search for and insert content from other sources, and the action bar, which contains some of the most frequently used tools in Docs."", ' To create a new Google Doc, you must first log in to your Google account and access Google Drive. After accessing Drive, you can click on the ""New"" button to create a new document.']"
3.7 Formatting Layout and Content in Google Docs,"All document formatting in Docs is done by using the action bar or the Format menu. The functionality of the formatting tools is similar to Word, although where the formatting tools are located can be a bit different.  Docs offers section breaks that enable the user to differentiate the formatting from one part of the document to the next. The configuration options are minimalistic in nature, which makes Docs very user-friendly.","['What is the main difference between the action bar and the Format menu in Google Docs?', 'What is a section break in Google Docs?', 'How can you access the review for this chapter?', ' What are the configuration options for page setup in Google Docs?']","["" The action bar provides quick access to common formatting options, while the Format menu offers more detailed control over the document's appearance."", 'A section break in Google Docs is a line that separates different parts of the document. It allows you to apply different formatting to different sections of the document.', ' You can access the review for this chapter at openstax.org.', 'The configuration options for page setup in Google Docs include options for page orientation, margins, headers, footers, and page numbers.']"
3.8 Collaborative Editing and Reviewing in Google Docs, The Tools menu in Docs contains many of the same functions and features as the Tools menu in Word. The Suggesting mode in Docs allows for users to work on one document simultaneously.,"[' What is the purpose of the Suggesting mode in Google Docs?', 'How does the Tools menu in Google Docs differ from the Tools menu in Word?', 'What are some practical applications of collaborative editing and reviewing in Google Docs?', ' How does the Suggesting mode in Google Docs improve the efficiency of team collaboration?', 'What are the benefits of using Google Docs for collaborative editing and reviewing?', 'Can you provide an example of a time when you used Google Docs for collaborative editing and reviewing?']","[' The purpose of the Suggesting mode in Google Docs is to allow multiple users to work on the same document simultaneously, providing real-time feedback and suggestions.', 'The Tools menu in Google Docs differs from the Tools menu in Word by including additional features such as the Suggesting mode and the ability to add collaborators.', ' Some practical applications of collaborative editing and reviewing in Google Docs include team projects, research collaborations, and document sharing and review.', 'The Suggesting mode in Google Docs improves the efficiency of team collaboration by allowing multiple users to work on the same document simultaneously, providing real-time feedback and suggestions.', ""The benefits of using Google Docs for collaborative editing and reviewing include the ability to work on a document simultaneously, access to real-time feedback, and the ability to review and comment on others' work."", 'An example of a time when I used Google Docs for collaborative editing and reviewing was during a team project where we needed to share and revise a document simultaneously. We used Google Docs to work on the document, provide feedback, and make revisions in real-time.']"
3.9 Versions and Version History,"Both Docs and Word have versioning capabilities that can save and restore previous versions of your document. Docs frequently autosaves your document, capturing minute-by-minute changes. These versions can be accessed, named, copied, and restored, which gives the user much flexibility when it comes to keeping track of different versions.  Word versioning only occurs if you keep your document stored on one of its cloud services like OneDrive or SharePoint. It contains many of the same features as Docs versioning. ","['What is the purpose of versioning in Docs and Word?', ' How does Docs autosave work?', ' What are the features of Word versioning that are similar to Docs versioning?', ' How can you access, name, copy, and restore versions in Docs?', 'What are the benefits of having a version history in Docs and Word?']","[' The purpose of versioning in Docs and Word is to allow users to save and restore previous versions of their document.', 'Docs autosaves your document every 15 minutes, capturing minute-by-minute changes. These autosaved versions can be accessed, named, copied, and restored.', 'Word versioning in Docs contains many of the same features as autosaving, including the ability to access, name, copy, and restore versions.', "" You can access, name, copy, and restore versions in Docs by navigating to the 'File' menu, selecting 'Info', and then clicking on the 'Version History' tab."", 'The benefits of having a version history in Docs and Word include the ability to keep track of different versions, revert to previous versions if necessary, and compare changes between versions.']"
4.1 Microsoft Word: Advanced Formatting Features,"Word includes some advanced configuration settings, such as the Word Options dialog box. This dialog box is full of different categories of settings, including General settings, Display settings, Proofing customizations, and the Advanced tab, which lets you configure a vast array of settings of different categories. Page numbers in Word are easy to add and highly configurable. They have preformatted graphical designs, styles, and numbering systems.  Headers and footers can be inserted into Word documents using the tools on the Insert tab. As with page numbers, headers and footers can be customized to meet your needs.  Types of lists include numbered, lettered, or bulleted. Each type of list has multilevel capabilities.","['What are the advanced configuration settings in Microsoft Word?', 'How can you add and configure page numbers in Word?', ' What are the tools on the Insert tab in Word?', ' What are the types of lists in Word?', 'How can you customize headers and footers in Word?', ' What are the multilevel capabilities of each type of list in Word?', ' What is the purpose of the Word Options dialog box?', ' How do you insert a table in Word?', 'What are the different types of fields in Word?', ' How can you insert a hyperlink in Word?', ' What is the purpose of the Bookmarks toolbar in Word?']","[' Advanced configuration settings in Microsoft Word include options such as Word Options dialog box, Display settings, Proofing customizations, and the Advanced tab.', 'You can add and configure page numbers in Word by using the Page Layout dialog box. It has preformatted graphical designs, styles, and numbering systems.', ' The tools on the Insert tab in Word include features such as tables, pictures, fields, hyperlinks, bookmarks, and quick parts.', 'The types of lists in Word include numbered, lettered, or bulleted.', ' You can customize headers and footers in Word by using the Header and Footer dialog box.', 'The multilevel capabilities of each type of list in Word include the ability to create nested lists.', ' The Word Options dialog box is used to configure various settings for Microsoft Word.', 'You can insert a table in Word by selecting Insert > Table from the menu.', 'The different types of fields in Word include date and time fields, page fields, and document property fields.', ' You can insert a hyperlink in Word by selecting Insert > Hyperlink from the menu.', ' The Bookmarks toolbar in Word is a toolbar that contains bookmark buttons. It allows you']"
4.2 Working with Graphics and Text Tools in Microsoft Word,"Tables can be inserted into the document to summarize information into rows and columns. The tables can be customized with a wide variety of styles, colors, and fonts.  You may insert images, shapes, SmartArt, charts, and screen captures into Word using the tools in the Illustrations command group. SmartArt is a tool that lets you design different types of organizational charts, such as process and hierarchy charts.  The Text command group contains commands that let you insert autogenerated fields into your document, like Quick Parts, Signature Line, and Date & Time. It also has text-designing tools like Drop Cap, WordArt, and Text Box.  Word also has a large collection of symbols and equations that can be inserted in the document.","[' What is the purpose of the Tables command in Microsoft Word?', 'How can you customize the style, color, and font of a table in Word?', ' What are the different types of images, shapes, and charts that can be inserted into a Word document?', ' What is the purpose of the Text command group in Microsoft Word?', 'What are the different types of text-designing tools available in Word?', ' How can you insert autogenerated fields into a Word document?', ' What is the purpose of the Quick Parts in Word?', ' What is the purpose of the Signature Line in Word?']","['The purpose of the Tables command in Microsoft Word is to insert tables into the document, which can be used to summarize information into rows and columns.', 'You can customize the style, color, and font of a table in Word by selecting the table, then going to the Table Design tab in the Home tab.', ' The different types of images, shapes, and charts that can be inserted into a Word document include images, shapes, SmartArt, charts, and screen captures.', 'The Text command group in Microsoft Word contains commands that let you insert autogenerated fields into your document, such as Quick Parts, Signature Line, and Date & Time.', 'The different types of text-designing tools available in Word include Drop Cap, WordArt, and Text Box.', 'You can insert autogenerated fields into a Word document by going to the Insert tab, then selecting Quick Parts, Signature Line, or Date & Time.', 'The purpose of the Quick Parts in Word is to insert pre-defined text or graphics into your document.', 'The Signature Line in Word is a field that automatically inserts the name of the person who is typing the document.']"
4.3 Managing Long Documents in Microsoft Word,"The Pages command group has the Page Break, Blank Page, and Cover Page commands. These tools are used for adding and managing pages in your document.  The Format Painter is a useful tool that lets users copy the exact formatting from one section of text and apply it to another place in the document. The References tab contains many useful tools for navigating long documents. From this tab, you can generate a table of contents, a table of figures, and add footnotes and endnotes.  Adding bookmarks helps readers easily navigate within a long document.","[' What are the three commands in the Pages command group?', ' What is the purpose of the Format Painter tool?', 'What are the tools available on the References tab?', ' What is the purpose of adding bookmarks in a document?', ' How can the Format Painter tool be used in a document?', ' What is the difference between a table of contents, a table of figures, and a footnote?', ' How can the References tab be used to generate a table of contents?', ' How can the References tab be used to generate a table of figures?', ' How can the References tab be used to add footnotes?']","[' The three commands in the Pages command group are Page Break, Blank Page, and Cover Page.', ' The Format Painter tool is used to copy the exact formatting from one section of text and apply it to another place in the document.', ' The tools available on the References tab include generating a table of contents, a table of figures, adding footnotes, and adding endnotes.', 'The purpose of adding bookmarks in a document is to allow readers to easily navigate within the document.', ' The Format Painter tool can be used by selecting the text you want to copy the formatting from, clicking on the Format Painter tool in the Home tab, and then selecting the text where you want to apply the formatting.', 'A table of contents is a list of headings in a document, a table of figures is a list of figures and their captions, and a footnote is a reference or comment that is placed at the bottom of a page. An endnote is a reference or comment that is placed at the end of a document.', ' The References tab can be used to generate a table of contents by clicking on the Table of Contents button.', 'The References tab can be used to generate a table of figures by clicking on the Table of Figures button.', '9. The References tab can be used to add footnotes by clicking on the Footnotes button and then following the prompts to add a footnote']"
4.4 Google Docs: Enhanced Formatting Features,"Docs gives the user a few ways to customize page numbers in the document.  Headers and footers can be added to the Doc and formatted using the tools in the action bar.  Making multilevel lists in Docs is similar to the same process in Word. But Docs also has checklists, which are unique to Docs and are a form of bulleted list.","[' What are the ways to customize page numbers in Google Docs?', 'How can headers and footers be added and formatted in Google Docs?', 'How is making multilevel lists in Google Docs similar to the same process in Microsoft Word?', 'What is a unique feature of Google Docs that is not present in Microsoft Word?']","[' Google Docs allows users to customize page numbers by going to ""Page setup"" in the ""Page"" menu.', ' Headers and footers can be added and formatted in Google Docs by going to ""Page setup"" in the ""Page"" menu and selecting ""Headers & footers"".', ' Making multilevel lists in Google Docs is similar to the same process in Microsoft Word. You can create a list by pressing ""Enter"" after typing your list item, and then pressing ""Tab"" to indent the list.', ' One unique feature of Google Docs that is not present in Microsoft Word is the ""checklists"", which are a form of bulleted list that can be checked off when completed.']"
